name,gender_guess,label
"Hodges, Charles E.",male,NA
"Hodgson, W. B.",male,NA
"Hoey, James.",male,NA
"Holley, Sallie",female,NA
"Hollins, Annie Neill.",female,NA
"Hollis, Mary Penniman",female,NA
"Holly, Joseph C.",male,NA
"Holyoake, George Jacob",male,NA
"Hooper, Ellen Sturgis.",female,NA
"Hopkins, Richard.",male,NA
"Hopper, Anna M.",female,NA
"Hopper, Edward",male,NA
"Hopper, Isaac T.",male,NA
"Hopper, John",male,NA
"Hopper, Rosalie DeWolf.",female,NA
"Horton, Jacob",male,NA
"Horton, Martha A.",female,NA
"Hoskin, John.",male,NA
"Hossack, John",male,NA
"Hovey, Charles F.",male,NA
"Howard, Charles H.",male,NA
"Howard, Hope.",female,NA
"Howe, S. G.",female,NA
"Howitt, Mary Botham",female,NA
"Howland, Joseph A.",male,NA
"Howorth, Franklin.",male,NA
"Hughes, S. F.",female,NA
"Huidekoper, Elizabeth G.",female,NA
"Humphrey, Heman",male,NA
"Hunt, Samuel",male,NA
"Hunt, Seth.",male,NA
"Hutson, W. Ferguson.",male,NA
"Hutton, Joseph",male,NA
"Ingersoll, Henrietta Crosby.",female,NA
"Jackson, Edmund",male,NA
"Jackson, Francis",male,NA
"Jackson, George.",male,NA
"Jacob, John J.",male,NA
"Jacobs, Louise.",female,NA
"James, William.",male,NA
"Japhet, J. M.",male,NA
"Jarvis, Lydia G.",female,NA
"Jay, William",male,NA
"Jennings, Isabel.",female,NA
"Jennings, Jane.",female,NA
"Johnson, Mary Ann White",female,NA
"Johnson, Oliver",male,NA
"Johnson, Samuel",male,NA
"Jones, Benjamin S.",male,NA
"Jones, Benjamin Smith",male,NA
"Jones, J. Elizabeth",male,NA
"Jones, Silva W.",female,NA
"Joy, Charlotte Austin.",female,NA
"Kell, Edmund",male,NA
"Kenny, Mary P.",female,NA
"Kenrick, John",male,NA
"Kimber, Abby",female,NA
"Kimber, Martha.",female,NA
"Knibb, William",male,NA
"Knight, Anne.",female,NA
Ladies of Perth.,NA,NA
"Lamartine, Alphonse de",male,NA
"Landt, Margaret H.",female,NA
Latimer.,male,NA
"Laugel, Elizabeth Bates Chapman",female,NA
"Laugel, Leonce.",male,NA
"Lecomte, Floreska.",NA,NA
"Lewis, Edmonia.",female,NA
"Lewis, Enoch.",male,NA
"Lewis, Evan.",male,NA
"Lewis, Jarvis.",male,NA
"Lewis, Seth.",male,NA
"Lincoln, Elizabeth W.",female,NA
"Linton, Mahlon B.",male,NA
"Little, Sophia L.",female,NA
"Livermore, Elizabeth A.",female,NA
"Livermore, Mary Ashton Rice",female,NA
"Locke, Jane E.",female,NA
"Logan, William",male,NA
"Longfellow, Samuel",male,NA
"Loring, Anna.",female,NA
"Loring, Benjamin.",male,NA
"Loring, C. W.",male,NA
"Loring, Ellis Gray",male,NA
"Loring, Louisa Gilman",female,NA
"Lothrop, Samuel Kirkland",male,NA
"Love, Alfred H.",male,NA
"Lupton, Elizabeth.",female,NA
"Lupton, Harriet.",female,NA
"Lupton, Joseph.",male,NA
"Lyman, Theodore",male,NA
M. W. C.,female,NA
"M'Kim, J. Miller",male,NA
"Macaulay, Zachary",male,NA
"Macmillan, Sarah N.",female,NA
"MacPhail, Jane M.",female,NA
"MacQueen, James",male,NA
"Macy, Aaron Cyrus.",male,NA
"Madden, Richard Robert",male,NA
"Magill, Edward H.",male,NA
"Magill, Jonathan P.",male,NA
"Mandell, Abby Osgood",female,NA
"Mannix, Mary.",female,NA
"Marsh, R. V.",male,NA
"Marshall, Emma",female,NA
"Marshall, Theodoria.",female,NA
"Martin, Henry William",male,NA
"Martineau, Harriet",female,NA
"Martineau, Robert F.",male,NA
"Massie, Isabella.",female,NA
"Mawson, Elizabeth Swan.",female,NA
"Mawson, John",male,NA
"May, Abby W.",female,NA
"May, Elizabeth G.",female,NA
"May, Mary Goddard",female,NA
"May, Samuel",male,NA
"May, Samuel J.",male,NA
"May, Sarah Russell",female,NA
"Mazzini, Giuseppe",male,NA
"McFadden, Albert.",male,NA
"McLaren, Priscilla Bright",female,NA
"Metford, Jane E.",female,NA
"Michell, Emma.",female,NA
"Miles, Mary E. Russell.",female,NA
"Milford, George Washington.",male,NA
"Milnes, Richard Monckton",male,NA
"Mitchell, Emma.",female,NA
"Moore, Frank",male,NA
"Moore, Rebecca.",female,NA
Moran,male,NA
"Morison, John Hopkins",male,NA
"Morris, Robert",male,NA
"Morton, Anne.",female,NA
"Morton, Charlotte A.",female,NA
"Morton, D.",male,NA
"Mott, James",male,NA
"Mott, Lucretia",female,NA
"Nason, C. C.",male,NA
"Neal, John",male,NA
"Needles, William N.",male,NA
"Neill, John R.",male,NA
"Nell, William C.",male,NA
"New, Herbert",male,NA
"Newman, Francis William",male,NA
"Nichol, Elizabeth Pease",female,NA
"Nichol, John",male,NA
"Nichols, R. Anne.",male,NA
"Nichols, W. S.",male,NA
Nicolaus,male,NA
"Nisbet, Richard.",male,NA
"Norton, Charles Eliot",male,NA
"Norton, John Treadwell",male,NA
"O'Brien, Hannah.",female,NA
"Olds, C. G.",male,NA
"Olds, Clarissa G.",female,NA
"Olin, William M.",male,NA
"Orton, J. R.",male,NA
"Osgood, Abby",female,NA
"Otis, A. L.",male,NA
"Ouseley, William Gore",male,NA
"Owen, Woodland",male,NA
"Palfrey, John Gorham",male,NA
"Palmer, Elizabeth L.",female,NA
"Parker, M. E.",female,NA
"Parker, Mary S.",female,NA
"Parkman, John",male,NA
"Parkman, M. J.",female,NA
"Paton, Andrew",male,NA
"Paton, Catherine.",female,NA
"Patton, Abby Hutchinson",female,NA
"Payne, H. B.",male,NA
"Peabody, Andrew P.",male,NA
"Peek, Alanson A.",male,NA
"Phelps, Amos A.",male,NA
"Philbrick, Anna R.",female,NA
"Philbrick, Samuel",male,NA
"Phillips, Ann Terry Greene",female,NA
"Phillips, Louisa.",female,NA
"Phillips, Mary L.",female,NA
"Phillips, Thomas.",male,NA
"Phillips, Wendell",male,"Phillips, Wendell"
"Phillips, William F.",male,NA
"Pillsbury, Parker",male,NA
"Pillsbury, Sarah H.",female,NA
"Pitkin, John R. G.",male,NA
"Plumer, Richard.",male,NA
"Plumer, William",male,NA
"Plumly, Benjamin Rush",male,NA
"Plummer, Sarah M.",female,NA
"Poole, Elizabeth.",female,NA
"Poole, Sarah.",female,NA
"Porter, Caroline.",female,NA
"Porter, Charles",male,NA
"Porter, John Scott",male,NA
"Post, Amy.",female,NA
"Potter, Thomas Bayley.",male,NA
"Potter, William J.",male,NA
"Powell, Aaron M.",male,NA
"Powell, William P.",male,NA
"Price, Abby H.",female,NA
"Prigg, Edward.",male,NA
"Pugh, Sarah",female,NA
"Putnam, Caroline E.",female,NA
"Putnam, George",male,NA
"Quincy, Edmund",male,NA
R. C.,male,NA
"Rae, Robert.",male,NA
"Ramsay, James",male,NA
"Randolph, Thomas Jefferson",male,NA
"Raper, James Hayes.",male,NA
"Rawson, Mary Anne",female,NA
"Remond, Sarah Parker",female,NA
"Ricketson, Daniel",male,NA
"Ricketson, Joseph.",male,NA
"Ringwalt, J. E.",male,NA
"Robbins, L. M.",male,NA
"Roberts, Thomas",male,NA
"Robeson, Andrew",male,NA
"Robinson, Emily.",female,NA
"Robson, William",male,NA
Rockport Social Circle.,NA,NA
Rodman,male,NA
"Rodman, Eliza.",female,NA
"Rodman, Elizabeth.",female,NA
"Rodman, Samuel.",male,NA
"Rogers, Mary P.",female,NA
"Rolleston, George",male,NA
"Roper, Moses.",male,NA
"Ross, Alexander Milton",male,NA
"Royce, S.",female,NA
"Ruhm, John",male,NA
"Russell, G. R.",male,NA
"Russell, George.",male,NA
"Russell, Sarah Parkman Shaw",female,NA
"Russell, Thomas",male,NA
"Sanborn, F. B.",male,NA
"Sanderson, J. B.",male,NA
"Sanger, Abner.",male,NA
Sarah.,female,NA
"Sargent, John T.",male,NA
"Saxon, A.",male,NA
"Schoelcher, Victor",male,NA
"Sedgwick, C. B.",male,NA
"Sedgwick, Theodore",male,NA
"Sellers, Samuel.",male,NA
"Sewall, Harriet Winslow",female,NA
"Sewall, Louisa M.",female,NA
"Sewall, Samuel E.",male,NA
"Shackleton, Mary.",female,NA
"Shaw, Sarah Blake Sturgis",female,NA
"Shaw, William.",male,NA
"Shorey, Cornelia G.",female,NA
"Slack, David B.",male,NA
"Smith, A. T.",male,NA
"Smith, Ann Carroll Fitzhugh",female,NA
"Smith, Elias",male,NA
"Smith, Evelina A. S.",female,NA
"Smith, George.",male,NA
"Smith, Gerrit",male,NA
"Smith, Increase S.",male,NA
"Smith, Isaac.",male,NA
"Smith, John.",male,NA
"Smith, R.",male,NA
"Snodgrass, J. E.",male,NA
"Soul, Joseph.",male,NA
"Spear, Catherine H.",female,NA
"Spear, John Murray",male,NA
"Spear, William H.",male,NA
"Spooner, Allen C.",male,NA
"Spooner, Nathaniel B.",male,NA
"Spring, Marcus.",male,NA
"Stacy, George W.",male,NA
"Stanton, Elizabeth Cady",female,NA
"Stanton, Henry B.",male,NA
"Stearns, Geo. L.",male,NA
"Stearns, Rachel W.",female,NA
"Stebbins, Catharine A. F.",female,NA
"Stebbins, Giles Badger",male,NA
"Stebbins, Sumner.",male,NA
"Steinthal, S. Alfred.",female,NA
"Stephens, Martha.",female,NA
"Stetson, Caleb",male,NA
"Still, William",male,NA
"Stone, Lucy",female,NA
"Storey, Charles William",male,NA
"Stroud, George M.",male,NA
"Stuart, Charles",male,NA
"Stuart, James",male,NA
"Sturge, Esther.",female,NA
"Sturge, Thomas.",male,NA
"Sumner, Charles",male,NA
"Sutherland, Harriet Elizabeth Georgiana Leveson-Gower",female,NA
"Tappan, Sarah Salisbury",female,NA
"Taylor, Bayard",male,NA
"Taylor, John.",male,NA
"Taylor, Mentia.",NA,NA
"Thayer, William M.",male,NA
"Thomas, Hannah S.",female,NA
"Thomas, S. W.",female,NA
"Thome, James A.",male,NA
"Thompson, George",male,NA
"Thompson, T. Perronet",male,NA
"Thoreau, Helen L.",female,NA
"Thoreau, Sophia E.",female,NA
"Tilton, Theodore",male,NA
"Torrey, Charles T.",male,NA
"Torrey, Jesse",male,NA
"Tourjée, Eben",male,NA
"Townsend, Mira Sharples",female,NA
"Tribe, Anne.",female,NA
"Tribe, Fanny N.",female,NA
"Tudor, Frederic",male,NA
"Turgenev, Nikolai",NA,NA
"Tweedie, William",male,NA
"Tyler, Moses Coit",male,NA
"Urquhart, Thomas.",male,NA
"Van Rensalaer, Thomas.",male,NA
"Vaux, Roberts",male,NA
"Vincent, Henry",male,NA
Virgil.,male,NA
W. T. H.,male,NA
"Wadström, Carl Bernhard",male,NA
"Wadsworth, George.",male,NA
"Walker, Thomas.",male,NA
"Wallace, William Allen",male,NA
"Wallcut, Robert Folger",male,NA
"Watson, Mary H.",female,NA
"Webb, Alfred",male,NA
"Webb, Hannah",female,NA
"Webb, James H.",male,NA
"Webb, Maria.",female,NA
"Webb, Richard Davis",male,"Webb, Richard Davis"
"Webb, Richard.",male,NA
"Wells, James M.",male,NA
"Welsh, Mary",female,NA
Weston,male,NA
"Weston, Anne Warren",female,"Weston, Anne Warren"
"Weston, C. E.",male,NA
"Weston, Caroline",female,NA
"Weston, Deborah",female,NA
"Weston, E.",female,NA
"Weston, Emma Forbes",female,NA
"Weston, G. B.",male,NA
"Weston, Helen.",female,NA
"Weston, Hervey Eliphaz",male,NA
"Weston, Lucia",female,NA
"Weston, Mary",female,NA
"Weston, R. Warren",male,NA
"Weston, Rosamond.",female,NA
"Weston, S. M.",female,NA
"Whipple, Charles K.",male,NA
"White, George W.",male,NA
"White, Hannah Ely.",female,NA
"White, Richard W.",male,NA
"White, William Abijah",male,NA
"Whitelegge, Rebecca.",female,NA
"Whiting, L. R.",male,NA
"Whiting, Louisa Jane.",female,NA
"Whiting, Nathaniel H.",male,NA
"Whitney, Anne",female,NA
"Whitney, R. P.",male,NA
"Whitson, Thomas",male,NA
"Whittier, John Greenleaf",male,NA
"Whitworth, Robert.",male,NA
"Wiffen, Benjamin B.",male,NA
"Wigham, Eliza",female,NA
"Wigham, Eliza.",female,NA
"Wigham, Jane.",female,NA
"Willard, Emma C.",female,NA
"Williams, William.",male,NA
"Willis, Hamilton.",male,NA
"Wilmarth, Lucinda.",female,NA
"Wilson, Daniel",male,NA
"Wilson, Henry",male,NA
"Wilson, Henry Joseph",male,NA
"Wilson, Hiram",male,NA
"Wilson, Shipley W.",male,NA
"Winsmith, J. C.",male,NA
"Wood, A. H.",male,NA
"Wood, S.",female,NA
"Woolson, Abba Goold",female,NA
"Wright, Albert J.",male,NA
"Wright, Henry Clarke",male,NA
"Yerrinton, James Brown",male,NA
Cinque.,NA,NA
"Céspedes, Ramón.",NA,NA
"Leigh, Benjamin Watkins",male,NA
"Draper, Ebenezer Daggett",male,NA
"Phillips, J.",male,NA
"Nash, Daniel D.",male,NA
"Ady, John",male,NA
"Lofft, Capel",male,NA
"Warburton, William",male,NA
"Harwood, E.",female,NA
"Blanchard, Frances Ann Brown Sargent",female,NA
"Stearns, Charles.",male,NA
"West, Edward.",male,NA
"Buddington, H. A.",male,NA
"Thayer, C. C.",male,NA
"Sturge, Edmund",male,NA
"Pringle, Edward J.",male,NA
"Pétion, Alexandre",male,NA
Arnold,male,NA
"Ball, Martha V.",female,NA
"Bassett, William",male,NA
"Channing, Walter",male,NA
Clarke,male,NA
"Cropper, Anne",female,NA
E.G.A.,NA,NA
"French, Rodney",male,NA
"Garrison, Francis Jackson",male,NA
"Harring, Harro",male,NA
"Hinkly, Eugene B.",male,NA
"Hunt, Sarah H.",female,NA
Jenny.,female,NA
"Laugel, Auguste",female,NA
"Laugel, Leonce",male,NA
"Loring, Anna",female,NA
Mary,female,NA
"Michell, Emma",female,NA
"Osgood, James R.",male,NA
"Parker, Theodore",male,NA
"Purvis, Robert",male,NA
"Steinthal, S. Alfred",female,NA
"Weston, Ann Bates",female,NA
"Whitelegge, Rebecca",female,NA
"Wilberforce, Samuel",male,NA
"Wright, Elizur",male,NA
"Whipple, Charles",male,NA
"Bleakley, James T. M.",male,NA
"Reason, Charles L.",male,NA
"Swedenborg, Emanuel",male,NA
"Boyer, Jean Pierre",male,NA
"Mallory, S. V. R.",female,NA
Dubouchage,NA,NA
"Goulburn, Henry",male,NA
"Buckley, Arthur",male,NA
"Mansfield, William Murray",male,NA
"Crafton, William Bell.",male,NA
"Hunt, Benjamin P.",male,NA
"Adams, J. S.",male,NA
"Alger, William Rounseville",male,NA
"Allen, Ephraim Williams",male,NA
"Bartlett, E. F.",female,NA
"Benson, Anna Elizabeth.",female,NA
"Benson, George",male,NA
"Benson, J. C.",male,NA
"Benson, Mary",female,NA
"Benson, Sarah Thurber",female,NA
"Boyce, James P.",male,NA
"Bramhall, Ann Rebecca",female,NA
"Browne, Theodore",male,NA
Bush,male,NA
"Campbell, James",male,NA
"Capron, Effingham Lawrence",male,NA
"Carter, Joseph R.",male,NA
Chace,NA,NA
"Clarke, J. R.",male,NA
"Clarkson, Catherine Buck",female,NA
"Connor, Rowland",male,NA
"Cooley, Aaron",male,NA
"Corkran, Charles L.",male,NA
"Cowing, Cornelius",male,NA
"Crandall, Prudence",female,NA
"Dole, Ebenezer",male,NA
"Douglass, S. M.",female,NA
"Dresel, Anna Loring",female,NA
"Drew, Thomas Bradford",male,NA
"Farmer, John",male,NA
"Farnsworth, Elizabeth",female,NA
"Friend, Julia M.",female,NA
"Gardner, Francis",male,NA
"Garrison, Frances Maria Lloyd",female,NA
"Garrison, James Holley",male,NA
"Garrison, Lucy McKim",female,NA
"Garrison, Wendell Phillips",male,NA
"Gates, Seth Merrill",male,NA
"Gunn, Marcus",male,NA
"Hazeltine, Charles",male,NA
"Hinckley, Isabella Mack",female,NA
"Hines, Harry C.",male,NA
"Jackson, Phoebe",female,NA
"Jewett, John Punchard",male,NA
"Jocelyn, Simeon Smith",male,NA
"Johnston, N. R.",male,NA
"Knapp, Isaac",male,NA
"Lenox, John M.",male,NA
"Lundy, Benjamin",male,NA
"M'Kim, Sarah Allibone Speakman",female,NA
"Mack, David",male,NA
"Manning, Jacob M.",male,NA
Marshall,male,NA
"Martineau, James",male,NA
"Mawson, Elizabeth Swan",female,NA
"Meriam, Eliza Frances",female,NA
"Morgan, John",male,NA
"Newell, Charlotte Lloyd",female,NA
"Newhall, William",male,NA
"Parker, Thomas",male,NA
"Pease, Joseph",male,NA
"Pitman, Harriet Minot",female,NA
"Potter, Thomas Bayley",male,NA
"Rae, Robert",male,NA
RECIPIENT (PERSONAL NAME),NA,NA
"Redpath, James",male,NA
"Ricketson, Joseph",male,NA
"Robinson, George Dexter",male,NA
"Round, W. M. F.",male,NA
"Ruffin, Josephine St. Pierre",female,NA
"Sheehy, Michael J.",male,NA
"Shepard, George",male,NA
"Shipley, Thomas",male,NA
"Smith, Joshua Bowen",male,NA
"Southard, Nathaniel",male,NA
"Studwell, Edwin A.",male,NA
"Sunderland, La Roy",male,NA
"Thayer, Caroline Coddington",female,NA
"Todd, Francis",male,NA
"Tredgold, John Harfield",male,NA
"Villard, Fanny Garrison",female,NA
"Villard, Henry",male,NA
"Vincent, Lucy Chappell Cleare",female,NA
"Wertz, Henry D.",male,NA
"Wheeler, William Adolphus",male,NA
"Winslow, Isaac",male,NA
"Yerrinton, J. M. W.",male,NA
"Truth, Sojourner",NA,NA
"Stowe, Harriet Beecher",female,NA
"Eliot, Samuel Atkins",male,NA
"Cole, Miriam M.",female,NA
"Cullen, Matthew.",male,NA
"Plumley, Benjamin Rush",male,NA
"Tappan, Lewis",male,NA
"Borthwick, P.",male,NA
"Everett, Oliver",male,NA
"Whitmorae, Wiiliam Wolryche",male,NA
"Sikes, Thomas",male,NA
"Ford, Worthington Chauncey",male,NA
"Brown, J.",male,NA
"Davis, George T.",male,NA
"Gannett, Ezra S.",male,NA
"Hudson, Charles",male,NA
"Longfellow, Henry Wadsworth",male,NA
"May, Adeline",female,NA
"Mann, Horace",male,NA
"Bergame, Nicolas de",male,NA
"Sparhawk, John",male,NA
"Everett, Edward",male,NA
"Hurnard, James",male,NA
"RMay, Samuel",male,NA
"Beach, Samuel",male,NA
"Jefferson, Thomas",male,NA
"Saint-Pierre, Bernardin de",female,NA
"Brougham and Vaux, Henry Brougham",male,NA
"Washington, I. H.",male,NA
"Sedgwick, Henry D.",male,NA
Clericus,NA,NA
"Verplanck, Gulian C.",NA,NA
"Holabird, William H.",male,NA
"Dennison, C.W.",male,NA
"Kimball, J. Horace",male,NA
"Weaks, I. E. P.",male,NA
"Wilberforce, William",male,NA
"Bags, John Dryden",male,NA
Arrhenius,NA,NA
Bates,male,NA
"Fuller, Margaret",female,NA
Gould,male,NA
"Grimké, Sarah Moore",female,NA
"Hanson, T. R.",male,NA
"Humboldt, Alexander von",male,NA
"Kemble, Fanny",female,NA
"Post, Amy",female,NA
"Rogers, Nathaniel Peabody",male,NA
"Bourne, George A.",male,NA
Essex County Olive Branch Circle,male,NA
"Hamatt, L. R. G.",male,NA
"Newcomb, Stillman B.",male,NA
"Weston, Phebe Nash",female,NA
Worcester,male,NA
Young,male,NA
"Fifield, Noah",male,NA
Seabury,male,NA
"Bullock, Rufus B.",male,NA