name,court_type
"U. S. District Court, Western District of Pennsylvania",USDC
"U. S. District Court, Eastern District of Missouri",USDC
"U. S. District Court, District of Mississippi",USDC
"U. S. District Court, Southern District of New York",USDC
"U. S. District Court, District of New Hampshire",USDC
"U. S. District Court, Southern District of Illinois",USDC
U. S. Court of Appeals for the Seventh Circuit,USCA
U. S. Court of Appeals for the District of Columbia Circuit,USCA
"U. S. District Court, District of North Dakota",USDC
"U. S. District Court, District of Indiana",USDC
U. S. Court of Appeals for the First Circuit,USCA
U. S. District Court for the District of Columbia [Supreme Court of the District of Columbia],USDC
"U. S. District Court, Eastern District of Michigan",USDC
"U. S. District Court, Middle District of Pennsylvania",USDC
Court of Claims,Court of Claims
U. S. Circuit Courts for the Seventh Circuit,USCC
"U. S. District Court, District of Nevada",USDC
Supreme Court of the United States,USSC
"U. S. District Court, District of Kentucky",USDC
U. S. Court of Customs Appeals (later Customs and Patent Appeals),Other
"U. S. District Court, Eastern District of Virginia",USDC
"U. S. District Court, District of Rhode Island",USDC
U. S. Circuit Court for the Third Circuit,USCC
U. S. Court of Appeals for the Fifth Circuit,USCA
U. S. Circuit Courts for the Sixth Circuit,USCC
"U. S. District Court, District of Oregon",USDC
"U. S. District Court, District of Idaho",USDC
"U. S. District Court, District of Delaware",USDC
"U. S. District Court, District of South Carolina",USDC
"U. S. District Court, Eastern District of New York",USDC
U. S. Circuit Court for the Second Circuit,USCC
"U. S. District Court, Northern District of Illinois",USDC
"U. S. District Courts, Albemarle, Cape Fear & Pamptico Districts of North Carolina",USDC
"U. S. District Court, District of Louisiana",USDC
"U. S. District Court, District of Maryland",USDC
"U. S. District Court, Southern District of California",USDC
"U. S. District Court, Western District of Louisiana",USDC
"U. S. District Court, District of New Jersey",USDC
U. S. Circuit Courts for the Fourth Circuit,USCC
"U. S. District Court, District of Minnesota",USDC
"U. S. District Court, District of Montana",USDC
"U. S. District Court, Western District of North Carolina",USDC
"U. S. District Court, Southern District of Florida",USDC
U. S. Circuit Courts for the Eighth Circuit,USCC
"U. S. District Court, District of Connecticut",USDC
"U. S. District Court, Western District of Virginia",USDC
"U. S. District Court, District of Florida",USDC
"U. S. District Court, Eastern District of Tennessee",USDC
"U. S. District Court, Southern District of Alabama",USDC
"U. S. District Court, Eastern District of Texas",USDC
"U. S. District Court, Western District of Wisconsin",USDC
"U. S. District Court, Southern District of Texas",USDC
"U. S. District Court, Middle District of Alabama",USDC
"U. S. District Court, Eastern District of Pennsylvania",USDC
"U. S. District Court, District of Ohio",USDC
"U. S. District Court, Western District of Arkansas",USDC
"U. S. District Court, Eastern District of Oklahoma",USDC
"U. S. District Court, District of South Dakota",USDC
"U. S. District Court, District of Vermont",USDC
"U. S. District Court, Northern District of Ohio",USDC
"U. S. District Court, District of Georgia",USDC
"U. S. District Court, Eastern District of Kentucky",USDC
"U. S. District Court, Northern District of New York",USDC
"U. S. District Court, Eastern District of North Carolina",USDC
"U. S. District Court, Western District of Oklahoma",USDC
Circuit Court of the District of Columbia,USCC
"U. S. District Court, Northern District of Alabama",USDC
"U. S. District Court, Western District of Washington",USDC
U. S. Circuit Courts for the Third Circuit,USCC
"U. S. District Court, District of Massachusetts",USDC
"U. S. District Court, Northern District of West Virginia",USDC
"U. S. District Court, Northern District of California",USDC
"U. S. District Court, District of Kansas",USDC
"U. S. District Court, Western District of Michigan",USDC
U. S. Court of Appeals for the Sixth Circuit,USCA
"U. S. District Court, District of Illinois",USDC
"U. S. District Court, District of New York",USDC
"U. S. District Court, District of Nebraska",USDC
"U. S. District Court, Eastern District of Louisiana",USDC
"U. S. District Court, Western District of Texas",USDC
"U. S. District Court, Eastern District of Wisconsin",USDC
"U. S. District Court, District of Iowa",USDC
"U. S. District Court, Eastern District of Illinois",USDC
"U. S. District Court, Northern District of Georgia",USDC
"U. S. District Court, Southern District of Georgia",USDC
"U. S. District Court, District of Maine",USDC
"U. S. District Court, Northern District of Florida",USDC
"U. S. District Court, Northern District of Mississippi",USDC
U. S. Circuit Courts for the Ninth Circuit,USCC
"U. S. District Court, District of Virginia",USDC
U. S. Circuit Court for the Fifth Circuit,USCC
"U. S. District Court, District of Colorado",USDC
"U. S. District Court, Western District of Tennessee",USDC
"U. S. District Court, District of Washington",USDC
"U. S. District Court, Western District of New York",USDC
"U. S. District Court, Southern District of Ohio",USDC
"U. S. District Court, District of Pennsylvania",USDC
U. S. Circuit Courts for the Second Circuit,USCC
"U. S. District Court, District of Arkansas",USDC
"U. S. District Court, Western District of South Carolina",USDC
"U. S. District Court, District of Utah",USDC
"U. S. District Court, Southern District of West Virginia",USDC
U. S. Circuit Court for the Fourth Circuit,USCC
Circuit Court of the District of Columbia USCC,Other
"U. S. District Court, Western District of Missouri",USDC
U. S. Circuit Court for the Districts of California,USCC
U. S. Circuit Court for the Sixth Circuit,USCC
"U. S. District Court, Northern District of Texas",USDC
"U. S. District Court, District of Tennessee",USDC
"U. S. District Court, Southern District of Iowa",USDC
"U. S. District Court, District of Wisconsin",USDC
"U. S. District Court, District of New Mexico",USDC
U. S. Circuit Courts for the Fifth Circuit,USCC
"U. S. District Court, District of Missouri",USDC
U. S. Circuit Courts for the First Circuit,USCC
"U. S. District Court, Northern District of Iowa",USDC
"U. S. District Court, District of Wyoming",USDC
U. S. Court of Appeals for the Second Circuit,USCA
"U. S. District Court, Eastern District of Washington",USDC
"U. S. District Court, District of Arizona",USDC
"U. S. District Court, District of North Carolina",USDC
U. S. Circuit Court for the First Circuit,USCC
U. S. Court of Appeals for the Eighth Circuit,USCA
"U. S. District Court, District of Alabama",USDC
"U. S. District Court, Eastern District of Arkansas",USDC
"U. S. District Court, District of Texas",USDC
"U. S. District Court, District of Michigan",USDC
U. S. Court of Appeals for the Fourth Circuit,USCA
U. S. Court of Appeals for the Third Circuit,USCA
"U. S. District Court, Middle District of Tennessee",USDC
"U. S. District Court, Western District of Kentucky",USDC
"U. S. District Court, Southern District of Mississippi",USDC
U. S. Court of Appeals for the Ninth Circuit,USCA
"U. S. District Court, District of Orleans",USDC
"U. S. District Court, District of West Virginia",USDC
Commerce Court,Other
U. S. District Court for the Eastern District of New Jersey,USDC
"U. S. District Courts, Edenton, New Bern & Wilmington Districts of North Carolina",USDC
"U. S. District Court, District of California",USDC
U. S. District Court for the Western District of New Jersey,USDC
"U. S. District Court, Eastern District of South Carolina",USDC